acc_x,acc_y,acc_z,v_dc,i_dc,v_ac,i_ac,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
7.899028800000001,4.2946176000000005,2.4540672,0.5573828125,4.9673080444335936e-05,0.1877734374999999,6.746292114257814e-06,18.13,25.96,215.53,64.81,-0.3,-0.95,0.05,-0.01,0.07,-0.15
7.8223392,4.601376000000001,2.8375152,0.5284375,4.7842025756835934e-05,0.182763671875,5.281448364257813e-06,18.14,25.96,215.59,64.77,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.9757184,4.3713072,2.5307568,0.544208984375,6.542015075683594e-05,0.19408203125,5.281448364257813e-06,18.15,25.97,215.65,64.75,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.9757184,4.4479968,2.6841360000000005,0.5482910156249999,4.527854919433594e-05,0.216533203125,5.281448364257813e-06,18.16,26.050000000000008,215.81,64.77,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.9757184,4.3713072,2.3006880000000005,0.51322265625,5.187034606933594e-05,0.2350878906249999,7.112503051757814e-06,18.17,26.140000000000025,215.86,64.77,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.8223392,4.217928000000001,2.3773776,0.554228515625,6.395530700683595e-05,0.224326171875,7.844924926757815e-06,18.18,26.230000000000008,215.91,64.78,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.668960000000001,4.3713072,2.4540672,0.54587890625,4.8208236694335935e-05,0.2265527343749999,8.211135864257815e-06,18.19,26.330000000000016,215.99000000000004,64.79,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.592270399999999,4.3713072,2.3006880000000005,0.515634765625,5.919456481933594e-05,0.2406542968749999,5.647659301757813e-06,18.2,26.42,216.08,64.81,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.7456496,4.5246864,2.6841360000000005,0.559423828125,5.919456481933594e-05,0.244365234375,4.182815551757815e-06,18.21,26.64000000000001,216.34000000000003,64.77,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.7456496,4.5246864,2.5307568,0.540126953125,4.564476013183594e-05,0.232490234375,5.281448364257813e-06,18.22,26.69,216.44,64.75,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.592270399999999,4.601376000000001,2.4540672,0.51990234375,6.249046325683595e-05,0.2488183593749999,6.380081176757814e-06,18.23,26.720000000000002,216.55,64.72,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.592270399999999,4.4479968,2.6841360000000005,0.5603515625,5.370140075683594e-05,0.2649609375,6.746292114257814e-06,18.24,26.749999999999996,216.66,64.67,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.8223392,4.2946176000000005,2.3773776,0.531220703125,4.7475814819335934e-05,0.261806640625,5.281448364257813e-06,18.25,26.760000000000005,216.76000000000002,64.58999999999999,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.8223392,4.217928000000001,2.2239984,0.531591796875,6.468772888183594e-05,0.24974609375,6.380081176757814e-06,18.26,26.809999999999985,216.95000000000002,64.45999999999998,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.668960000000001,4.3713072,2.4540672,0.556455078125,5.480003356933594e-05,0.26978515625,6.380081176757814e-06,18.27,26.76,217.03,64.43,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.899028800000001,4.0645488,2.1473088,0.52138671875,4.674339294433594e-05,0.27943359375,5.647659301757813e-06,18.28,26.719999999999995,217.10000000000002,64.41,-0.3,-0.95,0.04,-0.01,0.07,-0.15
7.9757184,4.3713072,2.3773776,0.5390136718749999,6.834983825683594e-05,0.271083984375,6.380081176757814e-06,18.29,26.7,217.18,64.41,-0.3,-0.95,0.04,-0.01,0.07,-0.15
8.052408,4.1412384,2.4540672,0.55404296875,5.040550231933594e-05,0.256982421875,6.013870239257813e-06,18.3,26.680000000000003,217.26,64.4,-0.3,-0.95,0.04,-0.01,0.07,-0.15000000000000177
8.052408,4.3713072,2.6074464,0.517119140625,4.8574447631835935e-05,0.278505859375,6.013870239257813e-06,18.31,26.69,217.33,64.38,-0.3,-0.95,0.04,-0.01,0.07,-0.15999999999999912
7.9757184,4.5246864,2.5307568,0.554228515625,6.065940856933594e-05,0.280546875,6.380081176757814e-06,18.32,26.78000000000001,217.33,64.37,-0.31,-0.95,0.04,-0.01,0.07,-0.16
7.9757184,4.1412384,2.3006880000000005,0.547734375,5.077171325683594e-05,0.2673730468749999,4.549026489257816e-06,18.33,26.849999999999994,217.34,64.37,-0.31,-0.95,0.04,-0.01,0.07,-0.16
7.668960000000001,4.2946176000000005,2.4540672,0.51359375,5.516624450683594e-05,0.2684863281249999,7.478713989257815e-06,18.34,26.920000000000005,217.36,64.38,-0.31,-0.95,0.04,-0.01,0.07,-0.16
